pregunta;respuesta;'tema'
¿Por qué es importante entender la diferencia entre Internet y la World  Wide Web al desarrollar aplicaciones web?;Internet es la infraestructura física y de protocolos que conecta dispositivos, mientras que la Web es un servicio que funciona sobre ella para compartir documentos e información. Entenderlo ayuda a elegir las tecnologías correctas para comunicar tu app con servidores.;'Introduccion'
¿Cuál es la ventaja de la arquitectura cliente-servidor en el desarrollo web moderno ?;Separa responsabilidades: el cliente (navegador) maneja la interfaz y el servidor procesa datos y lógica de negocio. Esto facilita la escalabilidad, la seguridad y el mantenimiento independiente de cada parte.;'Introduccion'
¿Por qué los navegadores necesitan interpretar HTML, CSS y JavaScript de manera separada?;Cada lenguaje cumple una función específica (estructura, presentación y comportamiento). Interpretarlos por separado permite al navegador optimizar el renderizado, aplicar estilos y ejecutar interacciones de forma eficiente.;'Introduccion'
¿Qué beneficios trae la separación de responsabilidades entre HTML (estructura), CSS (presentación) y JavaScript (comportamiento)?;Facilita el mantenimiento del código, permite que equipos especializados trabajen en paralelo, mejora el rendimiento de carga y evita conflictos entre estilos y funcionalidades.;'Introduccion'
¿Por qué es fundamental que un desarrollador web comprenda el modelo de petición-respuesta HTTP?;Es la base de toda comunicación web. Entender cómo el navegador pide recursos y cómo el servidor responde permite depurar errores, gestionar estados, caché y diseñar APIs funcionales.;'Introduccion'
¿Cuá l es la importancia de los estándares web (W3C) para el desarrollo de aplicaciones?;Garantizan que el código funcione de forma consistente en todos los navegadores y dispositivos, previenen comportamientos inesperados y aseguran accesibilidad y compatibilidad a largo plazo.;'Introduccion'
¿Por qué deberíamos preocuparnos por la co mpatibilidad entre diferentes navegadores al desarrollar sitios web?;Los usuarios acceden desde Chrome, Firefox, Safari, Edge, etc. Un sitio incompatible genera errores visuales o funcionales, lo que deteriora la experiencia y reduce la retención de visitantes.;'Introduccion'
¿Qué ventajas tiene usar un servidor web en lugar de abri r archivos HTML directamente desde el sistema de archivos?;Simula el entorno real de producción, permite probar rutas relativas, manejar CORS, cargar módulos JS correctamente y evita errores de seguridad que ocurren con el protocolo file://.;'Introduccion'
¿Por qué es importante entender que el HTML es solo texto plano que  el navegador interpreta?;Porque el navegador convierte ese texto en elementos visuales según las reglas del DOM. Entenderlo evita confusiones al depurar, ayuda a escribir código válido y facilita la optimización de carga.;'Introduccion'
¿Cuál es el rol del desarrollador frontend en la arquitectura web moderna?;Transformar diseños y requisitos en interfaces funcionales, accesibles y responsivas, asegurando que la interacción con el usuario sea fluida y que el código se comunique correctamente con el backend.;'Introduccion'
¿Por qué es importante validar que nuestro HTML cumpla con los estándares establecidos?;Para garantizar que el sitio sea accesible, compatible con lectores de pantalla, indexable por buscadores y que funcione correctamente en diferentes navegadores sin errores de renderizado.;'Introduccion'
